CH 1
3
6
11
9
7
10
10
8
10
7
14
9
14
10
13
6
9
7
9
11
15
8
12
8
10
14
17
8
10
18
10
6
4
11
6
15
15
12
11
12
10
16
9
12
11
11
8
6
10
8
8
8
8
13
10
11
6
11
9
13
11
6
16
12
8
12
6
6
9
11
5
8
7
11
9
14
14
6
7
10
7
14
5
5
7
9
10
16
9
6
9
22
10
14
4
8
14
9
9
9
13
17
9
13
7
8
6
11
13
10
6
11
10
8
9
11
4
10
7
8
9
5
17
14
9
10
8
10
9
16
14
12
11
10
9
8
8
10
4
8
9
13
16
13
9
18
11
9
8
10
11
12
13
8
8
7
9
11
10
6
10
9
14
20
7
9
11
9
12
7
11
12
8
12
15
4
12
6
14
9
9
14
8
7
9
15
6
13
8
5
14
11
8
11
9
9
11
13
7
6
