LECROYWP725Zi-A,67858,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 01:24:58,0                 
Time,Ampl
-1.53325e-008,-0.00961304
-1.52825e-008,-0.00253851
-1.52325e-008,0.00765714
-1.51825e-008,0.00883623
-1.51325e-008,0.0022472
-1.50825e-008,0.00287143
-1.50325e-008,0.00696356
-1.49825e-008,0.0141768
-1.49325e-008,0.0138994
-1.48825e-008,-0.00267722
-1.48325e-008,-0.0261896
-1.47825e-008,-0.0447083
-1.47325e-008,-0.0456793
-1.46825e-008,-0.0369401
-1.46325e-008,-0.0295882
-1.45825e-008,-0.0268139
-1.45325e-008,-0.0293107
-1.44825e-008,-0.0300043
-1.44325e-008,-0.0307673
-1.43825e-008,-0.029935
-1.43325e-008,-0.0315302
-1.42825e-008,-0.0227217
-1.42325e-008,-0.00385631
-1.41825e-008,-0.00198364
-1.41325e-008,0.00016646
-1.40825e-008,0.00543768
-1.40325e-008,0.00453602
-1.39825e-008,0.00134555
-1.39325e-008,-0.00517412
-1.38825e-008,-0.00427246
-1.38325e-008,0.00127619
-1.37825e-008,-0.00385631
-1.37325e-008,-0.00524347
-1.36825e-008,-0.00378695
-1.36325e-008,-0.0109308
-1.35825e-008,-0.0194619
-1.35325e-008,-0.0191151
-1.34825e-008,-0.00774037
-1.34325e-008,0.0039118
-1.33825e-008,0.00488281
-1.33325e-008,-0.00323209
-1.32825e-008,-0.0100985
-1.32325e-008,-0.015023
-1.31825e-008,-0.0241089
-1.31325e-008,-0.0286172
-1.30825e-008,-0.0181441
-1.30325e-008,-0.00829523
-1.29825e-008,-0.0114163
-1.29325e-008,-0.0187683
-1.28825e-008,-0.0222362
-1.28325e-008,-0.00739358
-1.27825e-008,0.00668612
-1.27325e-008,0.00190041
-1.26825e-008,-0.00607577
-1.26325e-008,-0.0134277
-1.25825e-008,-0.0250799
-1.25325e-008,-0.03479
-1.24825e-008,-0.0222362
-1.24325e-008,0.00321822
-1.23825e-008,0.0163963
-1.23325e-008,0.0105702
-1.22825e-008,-0.00267722
-1.22325e-008,-0.00461925
-1.21825e-008,0.00613126
-1.21325e-008,0.0180609
-1.20825e-008,0.0214594
-1.20325e-008,0.0134832
-1.19825e-008,0.00869751
-1.19325e-008,0.0106395
-1.18825e-008,0.00779585
-1.18325e-008,0.00939109
-1.17825e-008,0.0127203
-1.17325e-008,-0.00344016
-1.16825e-008,-0.0167569
-1.16325e-008,-0.00378695
-1.15825e-008,0.01383
-1.15325e-008,0.0141074
-1.14825e-008,0.00883623
-1.14325e-008,0.00405051
-1.13825e-008,0.000305176
-1.13325e-008,-0.00357888
-1.12825e-008,-0.0071855
-1.12325e-008,-0.0164795
-1.11825e-008,-0.0334722
-1.11325e-008,-0.0340965
-1.10825e-008,-0.0223056
-1.10325e-008,-0.0183522
-1.09825e-008,-0.0225136
-1.09325e-008,-0.0197393
-1.08825e-008,-0.00496604
-1.08325e-008,0.00148426
-1.07825e-008,-0.00545155
-1.07325e-008,-0.0110696
