LECROYWP725Zi-A,67858,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 01:25:09,0                 
Time,Ampl
-1.53058e-008,0.0052296
-1.52558e-008,0.00661677
-1.52058e-008,0.00744906
-1.51558e-008,0.00807329
-1.51058e-008,-0.000735196
-1.50558e-008,-0.0143987
-1.50058e-008,-0.0151617
-1.49558e-008,-0.00212236
-1.49058e-008,-0.00059648
-1.48558e-008,-0.00912753
-1.48058e-008,-0.0154391
-1.47558e-008,-0.0120406
-1.47058e-008,-0.00260787
-1.46558e-008,0.00911366
-1.46058e-008,0.0156333
-1.45558e-008,0.00939109
-1.45058e-008,0.00384244
-1.44558e-008,0.0077265
-1.44058e-008,0.00765714
-1.43558e-008,0.000929399
-1.43058e-008,-0.00468861
-1.42558e-008,-0.0133584
-1.42058e-008,-0.00780973
-1.41558e-008,0.0108476
-1.41058e-008,0.0182689
-1.40558e-008,0.0197948
-1.40058e-008,0.0196561
-1.39558e-008,0.0175754
-1.39058e-008,0.0168818
-1.38558e-008,0.00932173
-1.38058e-008,0.000443892
-1.37558e-008,0.000998757
-1.37058e-008,-0.00323209
-1.36558e-008,-0.00767101
-1.36058e-008,-0.000388406
-1.35558e-008,0.012859
-1.35058e-008,0.0179915
-1.34558e-008,0.00696356
-1.34058e-008,-0.0120406
-1.33558e-008,-0.0218201
-1.33058e-008,-0.0304898
-1.32558e-008,-0.0279929
-1.32058e-008,-0.00607577
-1.31558e-008,0.00599254
-1.31058e-008,0.0039118
-1.30558e-008,0.00314886
-1.30058e-008,0.00696356
-1.29558e-008,0.0119573
-1.29058e-008,0.0107089
-1.28558e-008,0.00925237
-1.28058e-008,0.00620062
-1.27558e-008,0.00571511
-1.27058e-008,0.00599254
-1.26558e-008,0.00925237
-1.26058e-008,0.0186157
-1.25558e-008,0.0195867
-1.25058e-008,0.00925237
-1.24558e-008,-0.00482733
-1.24058e-008,-0.00780973
-1.23558e-008,0.00196977
-1.23058e-008,-0.00524347
-1.22558e-008,-0.0112776
-1.22058e-008,-0.0103066
-1.21558e-008,-0.0157166
-1.21058e-008,-0.025496
-1.20558e-008,-0.0275768
-1.20058e-008,-0.020641
-1.19558e-008,-0.0157166
-1.19058e-008,-0.0195313
-1.18558e-008,-0.0167569
-1.18058e-008,-0.0190457
-1.17558e-008,-0.0148843
-1.17058e-008,-0.00607577
-1.16558e-008,-0.0058677
-1.16058e-008,-0.00767101
-1.15558e-008,0.00217785
-1.15058e-008,0.00613126
-1.14558e-008,-0.0042031
-1.14058e-008,-0.0185602
-1.13558e-008,-0.0167569
-1.13058e-008,-0.00794844
-1.12558e-008,0.00578447
-1.12058e-008,0.0186157
-1.11558e-008,0.0143155
-1.11058e-008,0.00516025
-1.10558e-008,-0.000665838
-1.10058e-008,-0.00725486
-1.09558e-008,-0.00246915
-1.09058e-008,-0.0037176
-1.08558e-008,-0.00683871
-1.08058e-008,-0.011347
-1.07558e-008,-0.0242476
-1.07058e-008,-0.0306286
-1.06558e-008,-0.0200861
-1.06058e-008,-0.0037176
-1.05558e-008,0.00661677
-1.05058e-008,0.0184076
-1.04558e-008,0.0200722
-1.04058e-008,0.0116799
-1.03558e-008,-0.00239979
-1.03058e-008,-0.0116938
-1.02558e-008,0.0047441
-1.02058e-008,0.0256209
-1.01558e-008,0.0234708
-1.01058e-008,0.000651966
-1.00558e-008,-0.0166876
-1.00058e-008,-0.0121099
-9.9558e-009,-0.00253851
-9.9058e-009,0.00481345
-9.8558e-009,0.00190041
-9.8058e-009,-0.00739358
-9.7558e-009,-0.0112776
-9.7058e-009,-0.00975175
-9.6558e-009,-0.00995983
-9.6058e-009,-0.00614513
-9.5558e-009,-0.000735196
-9.5058e-009,-0.00350952
-9.4558e-009,-0.00434182
-9.4058e-009,0.00460538
-9.3558e-009,0.00516025
-9.3058e-009,-0.00690807
-9.2558e-009,-0.0176586
-9.2058e-009,-0.0215426
-9.1558e-009,-0.0192538
-9.1058e-009,-0.0155085
-9.0558e-009,-0.00774037
-9.0058e-009,0.00418923
-8.9558e-009,0.00786521
-8.9058e-009,-0.00454989
-8.8558e-009,-0.00940496
-8.8058e-009,-0.0128035
-8.7558e-009,-0.0143987
-8.7058e-009,-0.00954368
-8.6558e-009,-0.00572898
-8.6058e-009,-0.000319047
-8.5558e-009,0.00828136
-8.5058e-009,0.00897494
-8.4558e-009,0.00654741
-8.4058e-009,0.00411987
-8.3558e-009,0.00800393
-8.3058e-009,0.0118186
-8.2558e-009,0.00848944
-8.2058e-009,-0.000943271
-8.1558e-009,-0.0102373
-8.1058e-009,-0.018907
-8.0558e-009,-0.0217507
-8.0058e-009,-0.0172424
-7.9558e-009,-0.00725486
-7.9058e-009,0.0022472
-7.8558e-009,0.0150785
-7.8058e-009,0.0233321
-7.7558e-009,0.0202803
-7.7058e-009,0.00779585
-7.6558e-009,0.00016646
-7.6058e-009,0.000790683
-7.5558e-009,0.00620062
-7.5058e-009,0.00668612
-7.4558e-009,-0.00344016
-7.4058e-009,-0.00947432
-7.3558e-009,-0.00489668
-7.3058e-009,-0.00919689
-7.2558e-009,-0.0162021
-7.2058e-009,-0.00871138
-7.1558e-009,0.0039118
-7.1058e-009,0.00238592
-7.0558e-009,-0.00524347
-7.0058e-009,-0.00489668
-6.9558e-009,-0.00309337
-6.9058e-009,-0.00330145
-6.8558e-009,-0.00954368
-6.8058e-009,-0.0133584
-6.7558e-009,-0.0114857
-6.7058e-009,-0.0114857
-6.6558e-009,-0.0103066
-6.6058e-009,-0.00656128
-6.5558e-009,0.00439731
-6.5058e-009,0.00557639
-6.4558e-009,-0.00059648
-6.4058e-009,-0.010376
-6.3558e-009,-0.0148843
-6.3058e-009,-0.0146068
-6.2558e-009,-0.014052
-6.2058e-009,-0.0107228
-6.1558e-009,-0.00260787
-6.1058e-009,0.00016646
-6.0558e-009,-0.00233043
-6.0058e-009,-0.00441118
-5.9558e-009,0.0022472
-5.9058e-009,0.0090443
-5.8558e-009,0.0133445
-5.8058e-009,0.0107089
-5.7558e-009,0.0109863
-5.7058e-009,0.014593
-5.6558e-009,0.0188238
-5.6058e-009,0.0203497
-5.5558e-009,0.0108476
-5.5058e-009,-0.00704679
-5.4558e-009,-0.0133584
-5.4058e-009,-0.0117631
-5.3558e-009,-0.00787908
-5.3058e-009,-0.00212236
-5.2558e-009,-0.00385631
-5.2058e-009,-0.00344016
-5.1558e-009,-0.00559027
-5.1058e-009,-0.0042031
-5.0558e-009,0.00155362
-5.0058e-009,0.00106812
-4.9558e-009,-0.00642256
-4.9058e-009,-0.0205023
-4.8558e-009,-0.0314608
-4.8058e-009,-0.0304205
-4.7558e-009,-0.0162714
-4.7058e-009,-0.00565962
-4.6558e-009,0.00148426
-4.6058e-009,-0.00323209
-4.5558e-009,-0.0130116
-4.5058e-009,-0.0218894
-4.4558e-009,-0.0246638
-4.4058e-009,-0.01967
-4.3558e-009,-0.0100985
-4.3058e-009,-0.0118325
-4.2558e-009,-0.017936
-4.2058e-009,-0.0214733
-4.1558e-009,-0.0189764
-4.1058e-009,-0.0134971
-4.0558e-009,-0.00746294
-4.0058e-009,-0.00579834
-3.9558e-009,-0.00857267
-3.9058e-009,-0.0124567
-3.8558e-009,-0.0154391
-3.8058e-009,-0.0148149
-3.7558e-009,-0.00607577
-3.7058e-009,-0.00434182
-3.6558e-009,-0.00871138
