CH 1
2
13
4
5
4
1
11
7
9
3
5
3
6
5
5
7
4
6
8
4
4
6
3
4
9
8
7
5
5
5
7
8
5
8
5
0
5
4
9
4
8
5
8
5
4
5
5
2
6
3
8
2
4
4
5
0
11
2
6
6
9
4
3
3
2
5
2
5
6
3
9
3
6
4
7
6
7
7
5
5
4
2
1
6
10
5
2
3
3
2
7
6
4
3
2
3
8
7
4
4
2
5
8
7
4
0
4
3
2
6
6
2
7
5
7
6
3
3
3
2
8
7
10
4
5
2
3
3
5
4
12
5
5
6
3
4
7
0
5
6
1
1
6
6
3
3
8
2
3
3
5
5
4
8
7
9
6
4
3
5
9
3
6
3
4
6
3
5
5
4
5
7
8
5
6
5
2
5
9
3
7
3
2
8
6
4
7
5
5
4
6
6
6
1
6
7
6
4
6
6
